id,crash,timestamp,bet_sum,player_count
7212581,2.86,1714645431,1672,18
7212580,3.45,1714645402,2308,20
7212579,4.29,1714645370,3272,20
7212578,1.19,1714645359,1930,20
7212577,1.24,1714645347,1488,18
7212576,1.45,1714645333,1257,17
7212575,23.39,1714645272,1108,19
7212574,1.82,1714645254,868,17
7212573,42.91,1714645184,3006,20
7212572,1.54,1714645168,2748,19
7212571,22.67,1714645108,1878,20
7212570,2.53,1714645085,10533,20
7212569,1.31,1714645072,1925,19
7212568,1.42,1714645058,1360,17
7212567,136.25,1714644968,4305,19
7212566,4.38,1714644936,2020,19
7212565,2.19,1714644914,1980,18
7212564,1.26,1714644902,3685,17
7212563,1.13,1714644892,4084,20
7212562,1.38,1714644879,1254,18
7212561,2.79,1714644854,2338,18
7212560,1.11,1714644844,3495,18
7212559,3.46,1714644815,1999,16
7212558,1.62,1714644799,498,15
7212557,247.05,1714644699,5589,18
7212556,1.18,1714644688,4135,18
7212555,3.69,1714644658,4257,21
7212554,2.7,1714644634,4411,16
7212553,38.34,1714644565,3761,18
7212552,1.49,1714644550,8012,19
7212551,1.0,1714644542,6235,18
7212550,1.46,1714644527,3896,19
7212549,1.13,1714644517,3477,19
7212548,2.68,1714644493,1037,17
7212547,1.14,1714644482,3185,17
7212546,1.07,1714644473,508,15
7212545,11.07,1714644425,512,15
7212544,3.75,1714644395,3716,19
7212543,1.49,1714644380,923,18
7212542,2.42,1714644357,3487,18
7212541,1.07,1714644348,3272,17
7212540,2.76,1714644323,3227,17
7212539,2.08,1714644303,3227,17
7212538,5.57,1714644266,6135,19
7212537,1.6,1714644250,3345,19
7212536,1.07,1714644241,2542,19
7212535,1.13,1714644231,1502,19
7212534,1.24,1714644219,1652,18
7212533,2.74,1714644194,1361,17
7212532,1.2,1714644183,2215,18
7212531,6.07,1714644145,576,17
7212530,3.0,1714644118,1871,16
7212529,36.93,1714644050,3943,19
7212528,1.37,1714644037,4176,18
7212527,11.59,1714643988,3370,19
7212526,2.33,1714643966,856,18
7212525,2.49,1714643943,1276,17
7212524,29.64,1714643878,1029,18
7212523,1.11,1714643868,751,18
7212522,1.95,1714643849,576,16
7212521,30.52,1714643784,1769,20
7212520,1.81,1714643766,3356,20
7212519,2.6,1714643742,1317,19
7212518,2.92,1714643716,3849,21
7212517,2.23,1714643695,3287,18
7212516,4.15,1714643663,3662,19
7212515,1.03,1714643654,1263,18
7212514,13.01,1714643603,6167,21
7212513,1.14,1714643593,3300,21
7212512,5.21,1714643557,3052,21
7212511,1.41,1714643544,3941,22
7212510,1.02,1714643535,955,18
7212509,3.34,1714643507,2882,21
7212508,1.06,1714643498,2048,22
7212507,2.04,1714643478,2398,21
7212506,1.0,1714643470,1895,21
7212505,2.37,1714643447,2896,21
7212504,1.11,1714643437,2737,20
7212503,1.38,1714643424,2349,20
7212502,114.41,1714643337,1951,21
7212501,2.37,1714643314,968,22
7212500,2.47,1714643291,2807,19
